status,private pool,propertyType,street,baths,homeFacts,fireplace,city,schools,sqft,zipcode,beds,state,stories,mls-id,PrivatePool,MlsId,target
For sale,,Single Family,3087 NW 123rd Pl,4.0,"{'atAGlanceFacts': [{'factValue': '1992', 'factLabel': 'Year built'}, {'factValue': '1992', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.38 acres', 'factLabel': 'lotsize'}, {'factValue': '$225', 'factLabel': 'Price/sqft'}]}",,Portland,"[{'rating': ['6/10', '6/10', '7/10'], 'data': {'Distance': ['1.2 mi', '2.4 mi', '1.4 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['Terra Linda Elementary School', 'Cedar Park Middle School', 'Sunset High School']}]","3,961",97229,3,OR,2,,,19044643,"$889,498"
Active,,Land,399 Theresa Blvd,0,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '9999', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Port Charlotte,"[{'rating': ['5', '4', '6', 'NR', '5', 'NR', 'NR', 'NR'], 'data': {'Distance': ['1.0 mi', '2.6 mi', '1.8 mi', '1.6 mi', '1.6 mi', '1.8 mi', '1.0 mi', '1.5 mi'], 'Grades': ['PK–5', '6–8', '9–12', 'K–12', '6–12', '6–12', 'PK–12']}, 'name': ['Liberty Elementary School', 'Murdock Middle School', 'Port Charlotte High School', 'Charlotte Virtual Instruction Program School', 'Charlotte Virtual Franchise School', 'The Academy School', 'Community Christian Private School', 'Pinnacle Private School']}]",0,33954,,FL,,,,C7418941,"$4,000"
for sale,,single-family home,350 Harbor Dr,9 Baths,"{'atAGlanceFacts': [{'factValue': '1998', 'factLabel': 'Year built'}, {'factValue': '1998', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage, Carport', 'factLabel': 'Parking'}, {'factValue': '0.55 acres', 'factLabel': 'lotsize'}, {'factValue': '$2,016/sqft', 'factLabel': 'Price/sqft'}]}",,Key Biscayne,"[{'rating': ['5/10', '10/10', '9/10', '5/10', '10/10', 'None/10'], 'data': {'Distance': ['6.26mi', '5.81mi', '0.45mi', '6.39mi', '18.79mi', '15.09mi'], 'Grades': ['9-12', '6-8', 'PK-8', '6-8', 'PK-8', 'K-9']}, 'name': ['Coral Gables Senior High School', 'George Washington Carver Middle School', 'Key Biscayne K-8 Center', 'Ponce De Leon Middle School', 'Air Base Elementary School', 'Robert Morgan Voc-Tech Institute']}]","8,928 sqft",33149,7 Beds,FL,2.0,,yes,A10643797,"$18,000,000"
for sale,,single-family home,9310 Edmund St,3 Baths,"{'atAGlanceFacts': [{'factValue': '1990', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '3,250 sqft', 'factLabel': 'lotsize'}, {'factValue': '$212/sqft', 'factLabel': 'Price/sqft'}]}",,Philadelphia,"[{'rating': ['2/10', '4/10', '1/10'], 'data': {'Distance': ['2.58mi', '0.71mi', '2.52mi'], 'Grades': ['7-8', 'PK-6', '9-12']}, 'name': ['Meehan Austin Middle School', 'Holme Thomas School', 'Lincoln High School']}]","1,817 sqft",19114,3 Beds,PA,2.0,,,PAPH840992,"$385,000"
for sale,,condo,2657 Lenox Rd NE #J138,,"{'atAGlanceFacts': [{'factValue': '1994', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Atlanta,"[{'rating': ['6/10', '6/10', '6/10'], 'data': {'Distance': ['5.95mi', '2.48mi', '3.08mi'], 'Grades': ['10-12', 'PK-5', '6-8']}, 'name': ['North Atlanta High School', 'Smith Elementary School', 'Sutton Middle School']}]",,30324,,GA,1.0,,yes,8707121,"$160,000"
Active,,Single Family Home,8 Swiss Mountain Dr,2.5,"{'atAGlanceFacts': [{'factValue': '2000', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Natural Gas', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': 'Asphalt, Double Wide Drive', 'factLabel': 'Parking'}, {'factValue': '32670', 'factLabel': 'lotsize'}, {'factValue': 'No Info', 'factLabel': 'Price/sqft'}]}",1,Lakewood,"[{'rating': ['4', '3', '2', 'NR', 'NR', 'NR', 'NR'], 'data': {'Distance': ['2.0 mi', '3.9 mi', '4.1 mi', '2.2 mi', '3.4 mi', '0.8 mi', '0.8 mi'], 'Grades': ['1–5', '6–8', '9–12', 'PK–1', '9–12', 'K–8', '9–12']}, 'name': ['Oak Street Elementary School', 'Lakewood Middle School', 'Lakewood High School', 'Spruce St Elementary School', 'Brick Center Vocational School', 'Talmud Torah Bais Avrohom Private School', 'Yeshiva Birchas Chaim Private School']}]",0,8701,3.0,NJ,2.0,,,21941131,"$539,000"
For sale,,Single Family,12737 Maiden Cane Ln,Bathrooms: 2,"{'atAGlanceFacts': [{'factValue': '1989', 'factLabel': 'Year built'}, {'factValue': '1990', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '2,787 sqft lot', 'factLabel': 'lotsize'}, {'factValue': '$130', 'factLabel': 'Price/sqft'}]}",,Bonita Springs,"[{'rating': ['3/10', '7/10', '7/10'], 'data': {'Distance': ['25.8 mi', '17.2 mi', '21 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Dr Carrie D Robinson Littleton Elementary School', 'Cypress Lake Middle School', 'Fort Myers High School']}]","Total interior livable area: 1,417 sqft",34135,2 bd,FL,1.0,219044998,,,"$184,900"
for sale,,condo,13450 SW 3rd St #208D,2 Baths,"{'atAGlanceFacts': [{'factValue': '1985', 'factLabel': 'Year built'}, {'factValue': '1986', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$134/sqft', 'factLabel': 'Price/sqft'}]}",,Pembroke Pines,"[{'rating': ['8/10', '7/10', '7/10'], 'data': {'Distance': ['0.67mi', '1.1mi', '0.59mi'], 'Grades': ['6-8', '9-12', 'PK-5']}, 'name': ['Walter C. Young Middle School', 'Charles W Flanagan High School', 'Lakeside Elementary School']}]",953 sqft,33027,2 Beds,FL,,,,A10770504,"$127,500"
for sale,,single-family home,2123 Colcord Ave,2 Baths,"{'atAGlanceFacts': [{'factValue': '1912', 'factLabel': 'Year built'}, {'factValue': '1972', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'On Street, Detached Garage, Off Street', 'factLabel': 'Parking'}, {'factValue': '8,233 sqft', 'factLabel': 'lotsize'}, {'factValue': '$127/sqft', 'factLabel': 'Price/sqft'}]}",yes,Waco,"[{'rating': ['3/10', '2/10', '2/10'], 'data': {'Distance': ['0.33mi', '1.82mi', '1.56mi'], 'Grades': ['PK-5', '9-12', '6-8']}, 'name': ['Provident Heights Elementary School', 'Waco High School', 'Indian Spring Middle School']}]","1,940 sqft",76707,3 Beds,TX,1.0,,yes,191887,"$246,000"
Active,,Other Style,4919 La Branch St ,"1,250","{'atAGlanceFacts': [{'factValue': '1938', 'factLabel': 'Year built'}, {'factValue': '1938', 'factLabel': 'Remodeled year'}, {'factValue': 'Window Units', 'factLabel': 'Heating'}, {'factValue': 'Other Heating', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '8,500 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$158 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Houston,"[{'rating': ['6', '1', '5'], 'data': {'Distance': ['0.1 mi', '2.7 mi', '2.8 mi'], 'Grades': ['Preschool to 5', '6 to 8', '9 to 12']}, 'name': ['MacGregor El', 'Cullen Middle School', 'Lamar High School']}]","4,426",77004,Baths,TX,2,,,51249826,"700,000"
Active,,"High Rise, Penthouse",1717 N Bayshore Dr Ph -4138 ,,"{'atAGlanceFacts': [{'factValue': '1986', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Air', 'factLabel': 'Heating'}, {'factValue': 'Has Cooling', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': '$394 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Miami,"[{'rating': ['3', '10', 'NR', '2', '2'], 'data': {'Distance': ['0.8 mi', '23.2 mi', '18.4 mi', '1.5 mi', '1.2 mi'], 'Grades': ['Preschool to 5', 'Preschool to 8', 'K to 9', '6 to 8', '9 to 12']}, 'name': ['Phyllis Wheatley Elementary School', 'Air Base Elementary School', 'Robert Morgan Voc-Tech Institute', 'Jose de Diego Middle School', 'Booker T. Washington Senior High School']}]","1,066",33132,,FL,,,,A10749527,"419,900"
for sale,,single-family home,128 11th St E,4 Baths,"{'atAGlanceFacts': [{'factValue': '1964', 'factLabel': 'Year built'}, {'factValue': '1983', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.27 acres', 'factLabel': 'lotsize'}, {'factValue': '$449/sqft', 'factLabel': 'Price/sqft'}]}",,Tierra Verde,"[{'rating': ['4/10', '2/10', '4/10'], 'data': {'Distance': ['4.51mi', '5.2mi', '5.06mi'], 'Grades': ['6-8', 'PK-5', '9-12']}, 'name': ['Bay Point Middle School', 'Gulfport Montessori Elementary School', 'Lakewood High School']}]","2,451 sqft",33715,3 Beds,FL,,,yes,U8043880,"$1,100,000"
for sale,,single-family home,19246 Stare St,5 Baths,"{'atAGlanceFacts': [{'factValue': '1988', 'factLabel': 'Year built'}, {'factValue': '1989', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.43 acres', 'factLabel': 'lotsize'}, {'factValue': '$273/sqft', 'factLabel': 'Price/sqft'}]}",yes,Northridge,"[{'rating': ['9/10', '8/10', '5/10'], 'data': {'Distance': ['0.1mi', '0.51mi', '1.78mi'], 'Grades': ['6-8', 'K-5', '9-12']}, 'name': ['Alfred B. Nobel Charter Middle School', 'Topeka Charter School For Advanced Studies', 'Chatsworth Charter High School']}]","6,183 sqft",91324,6 Beds,CA,,,yes,OC19269630,"$1,690,000"
Active,,"Less Than 4 Floors, Ranch",1760 NW 40th St ,"1,000","{'atAGlanceFacts': [{'factValue': '1964', 'factLabel': 'Year built'}, {'factValue': '1975', 'factLabel': 'Remodeled year'}, {'factValue': 'Ceiling Fan, Central Cooling', 'factLabel': 'Heating'}, {'factValue': 'Central Heating', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '7,198 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$315 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Oakland Park,"[{'rating': ['4', '4', '2'], 'data': {'Distance': ['0.9 mi', '2.7 mi', '2.3 mi'], 'Grades': ['Preschool to 5', '6 to 8', '9 to 12']}, 'name': ['Lloyd Estates Elementary School', 'James S. Rickards Middle School', 'Northeast High School']}]","1,677",33309,Baths,FL,,,,RX-10548187,"529,000"
,,Condo,10185 Collins Ave APT 1010,1.0,"{'atAGlanceFacts': [{'factValue': '1965', 'factLabel': 'Year built'}, {'factValue': '1965', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '1 space', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$313', 'factLabel': 'Price/sqft'}]}",,Bal Harbour,"[{'rating': ['10/10', '4/10', '5/10'], 'data': {'Distance': ['29.3 mi', '5 mi', '6 mi'], 'Grades': ['PK-8', '6-8', '9-12']}, 'name': ['Air Base Elementary School', 'Nautilus Middle School', 'Miami Beach Senior High School']}]","1,019",33154,1,FL,15.0,,Yes,A10693391,"$319,000"
foreclosure,,single-family home,2110 W Cuyler Ave,2 Baths,"{'atAGlanceFacts': [{'factValue': '1916', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Detached Garage, On Street, Carport, Attached Garage', 'factLabel': 'Parking'}, {'factValue': '3,000 sqft', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Chicago,"[{'rating': ['1/10', '5/10', '8/10'], 'data': {'Distance': ['11.36mi', '1.37mi', '0.11mi'], 'Grades': ['9-12', '9-12', 'K-8']}, 'name': ['Hope College Prep High School', 'Amundsen High School', 'Coonley Elementary School']}]","1,600 sqft",60618,4 Beds,IL,,,,,
Active,,Condo/Townhome/Row Home/Co-Op,9769 Lane St,1,"{'atAGlanceFacts': [{'factValue': '1973', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Air Conditioning-Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$214', 'factLabel': 'Price/sqft'}]}",,Thornton,"[{'rating': ['3', '4', '3', '3', 'NR', '2', 'NR', 'NR'], 'data': {'Distance': ['0.6 mi', '3.4 mi', '0.6 mi', '0.4 mi', '1.4 mi', '1.3 mi', '1.2 mi', '1.2 mi'], 'Grades': ['K–5', '6–8', '9–12', 'K–8', '6–12', '9–12', 'K–12', '9–12']}, 'name': ['Hillcrest Elementary School', 'Silver Hills Middle School', 'Northglenn High School', 'Stem Launch School', 'Vantage Point School', 'Thornton High School', 'Upper Room Christian Academy Private School', 'Upper Room Christian Academy Private School']}]",980,80260,2,CO,Townhouse,,,2659678,"$210,000"
Active,,Land,Shaftsbury Shaftesbury Ln,,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '22651', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Winston Salem,"[{'rating': ['2', '3', '3', '3', 'NR', '8', 'NR', 'NR'], 'data': {'Distance': ['2.0 mi', '4.2 mi', '1.1 mi', '0.6 mi', '1.7 mi', '0.8 mi', '2.1 mi', '3.0 mi'], 'Grades': ['PK–5', '6–8', '9–12', 'PK–5', 'PK–12', '9–12', '1–6', 'K–12']}, 'name': ['Middle Fork Elementary School', 'Walkertown Middle School', 'Carver High School', 'Petree Elementary School', 'Hospital/Homebound Ed C School', 'Atkins Acadmic & Technology High School', 'Ephesus Junior Academy Private School', 'Woodland Baptist Chr. Private School']}]",0,27105,,NC,,,,914713,"$25,000"
for sale,,single-family home,14910 Northwood Village Ln,3 Baths,"{'atAGlanceFacts': [{'factValue': '1980', 'factLabel': 'Year built'}, {'factValue': '2018', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.33 acres', 'factLabel': 'lotsize'}, {'factValue': '$189/sqft', 'factLabel': 'Price/sqft'}]}",yes,Tampa,"[{'rating': ['3/10', '5/10', '5/10'], 'data': {'Distance': ['0.35mi', '2.01mi', '2.3mi'], 'Grades': ['6-8', 'PK-5', '9-12']}, 'name': ['Buchanan Middle School', 'Lake Magdalene Elementary School', 'Gaither High School']}]","1,988 sqft",33613,3 Beds,FL,2.0,,yes,T3210553,"$374,999"
For sale,,Townhouse,6314 Morse Ave,2.0,"{'atAGlanceFacts': [{'factValue': '1964', 'factLabel': 'Year built'}, {'factValue': '1964', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '6.4 acres', 'factLabel': 'lotsize'}, {'factValue': '$367', 'factLabel': 'Price/sqft'}]}",,North Hollywood,"[{'rating': ['6/10', '4/10', '5/10'], 'data': {'Distance': ['0.5 mi', '0.7 mi', '0.5 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['John B. Monlux Elementary School', 'James Madison Middle School', 'Ulysses S. Grant Senior High School']}]","1,197",91606,2,CA,0,,Yes,SR19257961,"$439,500"
for sale,,single-family home,3431 Willie Way,2 Baths,"{'atAGlanceFacts': [{'factValue': '1972', 'factLabel': 'Year built'}, {'factValue': '1972', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '8,804 sqft', 'factLabel': 'lotsize'}, {'factValue': '$123/sqft', 'factLabel': 'Price/sqft'}]}",,Spring,"[{'rating': ['9/10', '9/10', '6/10', '6/10'], 'data': {'Distance': ['4.24mi', '2.06mi', '1.9mi', '2.11mi'], 'Grades': ['9-12', '7-8', 'PK-4', '5-6']}, 'name': ['College Park High School', 'Knox J High School', 'Hailey Elementary School', 'Wilkerson Intermediate School']}]","1,540 sqft",77380,3 Beds,TX,1.0,,yes,48580225,"$189,900"
for sale,,single-family home,7128 Wooden Grange Dr,2 Baths,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$164/sqft', 'factLabel': 'Price/sqft'}]}",,Indianapolis,"[{'rating': ['9/10'], 'data': {'Distance': ['1.7mi'], 'Grades': ['9-12']}, 'name': ['Franklin Central High School']}]","1,647 sqft",46259,3 Beds,IN,1.0,,,,"$269,900"
for sale,,condo,1947 W Leland Ave #G,2 Baths,"{'atAGlanceFacts': [{'factValue': '2004', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'None', 'factLabel': 'Parking'}, {'factValue': '6,874 sqft', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Chicago,"[{'rating': ['1/10', '5/10', '5/10'], 'data': {'Distance': ['12.1mi', '0.59mi', '0.15mi'], 'Grades': ['9-12', '9-12', 'PK-8']}, 'name': ['Hope College Prep High School', 'Amundsen High School', 'McPherson Elementary School']}]",,60640,2 Beds,IL,3,,,10514856,"$252,499"
for sale,,single-family home,1437 Blanco Ln,2 Baths,"{'atAGlanceFacts': [{'factValue': '1981', 'factLabel': 'Year built'}, {'factValue': '1981', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '7,670 sqft', 'factLabel': 'lotsize'}, {'factValue': '$141/sqft', 'factLabel': 'Price/sqft'}]}",yes,Garland,"[{'rating': ['3/10', '3/10', '7/10', '3/10', '3/10', '4/10', '4/10', '4/10', '4/10', '9/10', '8/10', '4/10', '5/10', '5/10', '10/10', '2/10', '9/10', '10/10', '4/10', '3/10', '5/10', '3/10', '4/10', '9/10', '6/10', '2/10', '4/10', '3/10', '3/10', '6/10', '5/10', '3/10', '6/10', '5/10', '10/10', '4/10', '5/10', '5/10', '4/10', '7/10', '5/10', '5/10', '4/10', '7/10', '5/10', '6/10', '3/10', '5/10', '3/10', '4/10', '6/10', '9/10', '8/10', '6/10', '5/10', '7/10', '6/10', '6/10', '3/10', '7/10', '9/10', '6/10', '4/10', '8/10', '5/10'], 'data': {'Distance': ['4.9mi', '2.71mi', '4.6mi', '2.68mi', '1.31mi', '4.25mi', '3.37mi', '2.61mi', '4.5mi', '4.61mi', '2.84mi', '2.94mi', '3.21mi', '5.38mi', '2.24mi', '4.86mi', '4.99mi', '2.4mi', '3.81mi', '5.2mi', '3.57mi', '5.02mi', '4.22mi', '5.01mi', '2.51mi', '3.59mi', '4.29mi', '1.35mi', '1.44mi', '4.56mi', '2.84mi', '2.98mi', '5.3mi', '3.55mi', '4.51mi', '3.78mi', '3.59mi', '4.63mi', '5.1mi', '0.59mi', '3.76mi', '4.7mi', '5.91mi', '3.72mi', '3.96mi', '1.47mi', '4.25mi', '4.35mi', '4.59mi', '3.34mi', '3.97mi', '3.79mi', '2.6mi', '2.72mi', '3.01mi', '1.68mi', '1.02mi', '3.04mi', '3.08mi', '2.8mi', '3.06mi', '4.29mi', '3.9mi', '3.92mi', '3.98mi'], 'Grades': ['PK-5', 'PK-5', '6-8', '6-8', 'PK-5', 'PK-5', 'PK-5', '6-8', 'PK-5', 'PK-5', 'PK-5', '9-12', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', '9-12', '6-8', 'PK-5', 'PK-5', 'PK-5', '9-12', '6-8', '6-8', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', '6-8', '9-12', 'PK-5', 'PK-5', 'PK-5', 'PK-5', '6-8', 'PK-5', 'PK-5', '9-12', 'PK-5', 'PK-5', 'K-5', '6-8', 'PK-5', 'PK-5', 'PK-5', '9-12', 'PK-5', '9-12', 'PK-5', 'PK-5', '6-8', '6-8', 'PK-5']}, 'name': ['Glen Couch Elementary School', 'Freeman Elementary School', 'Jackson Technology Center', 'Bussey Middle School', 'Weaver Elementary School', 'Caldwell Elementary School', 'Centerville Elementary School', 'Coyle Middle School', 'Davis Elementary School', 'Beaver Technology Center', 'Watson Technology Center', 'Garland High School', 'Golden Meadows Elementary School', 'Bullock Elementary School', 'Kimberlin Academy For Excel', 'Heather Glen Elementary School', 'Classical Center At Vial Elementary School', 'Hillside Academy For Excel', 'Handley El', 'Montclair Elementary School', 'N Garland High School', ""O'banion Middle School"", 'Park Crest Elementary School', 'Roach Elementary School', 'Rowlett Elementary School', 'S Garland High School', 'Sam Houston Middle School', 'Sellers Middle School', 'Shorehaven Elementary School', 'Southgate Elementary School', 'Cooper Elementary School', 'Daugherty Elementary School', 'Bradfield Elementary School', 'Ethridge Elementary School', 'Walnut Glen Academy For Excel', 'Williams Elementary School', 'George Washington Carver Elementary School', 'Liberty Grove Elementary School', 'Hickman Elementary School', 'Northlake Elementary School', 'Webb Middle School', 'Lakeview Centennial High School', 'Toler Elementary School', 'Spring Creek Elementary School', 'Luna Elementary School', 'Back Elementary School', 'Lyles Middle School', 'Shugart Elementary School', 'Herfurth Elementary School', 'Naaman Forest High School', 'Abbett Elementary School', 'Keeley Elementary School', 'Robert B Sewell Elementary School', 'B G Hudson Middle School', 'Katherine Stephens Elementary School', 'Vernal Lister Elementary School', 'Norma Dorsey Elementary School', 'Rowlett High School', 'Club Hill Elementary School', 'Sachse High School', 'John W Armstrong Elementary School', 'Nita Pearson Elementary School', 'Vernon Schrade Middle School', 'Classical Center At Brandenburg Mi', 'Steadham Elementary School']}]","1,418 sqft",75040,3 Beds,TX,1.0,,,14237633,"$200,000"
Pending,,Single Family Home,17313 Tarrymore Rd,1.5,"{'atAGlanceFacts': [{'factValue': '1951', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central Air', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '4160', 'factLabel': 'lotsize'}, {'factValue': '$69', 'factLabel': 'Price/sqft'}]}",,Cleveland,"[{'rating': ['5', '2', '2', '6', '4', '3', 'NR', 'NR'], 'data': {'Distance': ['9.6 mi', '0.4 mi', '1.8 mi', '12.6 mi', '1.3 mi', '2.2 mi', '0.6 mi', '0.7 mi'], 'Grades': ['3–12', 'PK–9', '9–12', 'K–5', 'K–8', 'K–12', 'K–8', '9–12']}, 'name': ['Whitney Young School', 'Oliver H Perry Elementary School', 'Ginn Academy School', 'Louisa May Alcott Elementary School', 'Noble Academy-Cleveland School', 'New Day Academy Boarding & Day School', 'St John Lutheran Private School', 'Villa Angela-St Joseph Private School']}]",1728,44119,3.0,OH,1.50,,,4151810,"$119,900"
For sale,,Single Family,5647 N Fruit Hill Rd,5.0,"{'atAGlanceFacts': [{'factValue': '1992', 'factLabel': 'Year built'}, {'factValue': '1992', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '11 spaces', 'factLabel': 'Parking'}, {'factValue': '1.94 acres', 'factLabel': 'lotsize'}, {'factValue': '$198', 'factLabel': 'Price/sqft'}]}",Yes,Spokane,"[{'rating': ['6/10', '4/10', '8/10'], 'data': {'Distance': ['1.9 mi', '3.6 mi', '2.4 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['Pasadena Park Elementary School', 'Centennial Middle School', 'West Valley High School']}]","7,580",99217,4,WA,,,Yes,201921324,"$1,500,000"
for sale,,single-family home,6 La Costa Way,3 Baths,"{'atAGlanceFacts': [{'factValue': '1996', 'factLabel': 'Year built'}, {'factValue': '1996', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.5 acres', 'factLabel': 'lotsize'}, {'factValue': '$186/sqft', 'factLabel': 'Price/sqft'}]}",,Palm Coast,"[{'rating': ['5/10', '7/10', '6/10'], 'data': {'Distance': ['4.5mi', '6.43mi', '5.11mi'], 'Grades': ['9-12', 'PK-6', '7-8']}, 'name': ['Matanzas High School', 'Old Kings Elementary School', 'Indian Trails Middle School']}]","2,690 sqft",32137,3 Beds,FL,,,yes,252022,"$499,000"
