status,private pool,propertyType,street,baths,homeFacts,fireplace,city,schools,sqft,zipcode,beds,state,stories,mls-id,PrivatePool,MlsId,target
for sale,,condo,4818 Conway Rd #133,,"{'atAGlanceFacts': [{'factValue': '1973', 'factLabel': 'Year built'}, {'factValue': '1993', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '2,756 sqft', 'factLabel': 'lotsize'}, {'factValue': '$167/sqft', 'factLabel': 'Price/sqft'}]}",,Orlando,"[{'rating': ['7/10', '3/10', '7/10', '7/10', '7/10'], 'data': {'Distance': ['3.18mi', '1.17mi', '0.13mi', '2.25mi', '2.25mi'], 'Grades': ['9-12', '6-8', 'PK-5', 'K-8', '9-12']}, 'name': ['William R Boone High School', 'Conway Middle School', 'Shenandoah Elementary School', 'Cornerstone Academy Charter', 'Cornerstone Charter Academy High School']}]",636 sqft,32812,,FL,1.0,,,O5831954,"$106,000"
For sale,,Multi Family,2211 West St,2.0,"{'atAGlanceFacts': [{'factValue': '1907', 'factLabel': 'Year built'}, {'factValue': '1907', 'factLabel': 'Remodeled year'}, {'factValue': 'Wall', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'No Data', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$551', 'factLabel': 'Price/sqft'}]}",,Oakland,"[{'rating': ['3/10', '3/10'], 'data': {'Distance': ['0.2 mi', '0.4 mi'], 'Grades': ['K-8', '9-12']}, 'name': ['KIPP Bridge Charter School', 'Mcclymonds High School']}]","1,597 sqft",94612,4,CA,0,,,40889174,"$880,000"
for sale,,single-family home,4102 Shelter Bay Dr,2 Baths,"{'atAGlanceFacts': [{'factValue': '2012', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.31 acres', 'factLabel': 'lotsize'}, {'factValue': '$114/sqft', 'factLabel': 'Price/sqft'}]}",,Kissimmee,"[{'rating': ['4/10', '5/10', '5/10'], 'data': {'Distance': ['0.43mi', '5.32mi', '1.23mi'], 'Grades': ['PK-12', '6-8', 'K-8']}, 'name': ['Liberty High School', 'Horizon Middle School', 'Bellalago Academy']}]","2,184 sqft",34746,4 Beds,FL,,,,S5023140,"$248,900"
For sale,Yes,Condo,2421 Country Club Blvd APT 25,Bathrooms: 2,"{'atAGlanceFacts': [{'factValue': '1966', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Other', 'factLabel': 'Heating'}, {'factValue': 'Other', 'factLabel': 'Cooling'}, {'factValue': '1 space', 'factLabel': 'Parking'}, {'factValue': '1 sqft lot', 'factLabel': 'lotsize'}, {'factValue': '$105', 'factLabel': 'Price/sqft'}]}",Yes,Stockton,"[{'rating': ['2/10', '2/10'], 'data': {'Distance': ['0.6 mi', '1.3 mi'], 'Grades': ['K-8', '5-12']}, 'name': ['Hoover Elementary School', 'Stagg Senior High School']}]","Total interior livable area: 1,318 sqft",95204,3 bd,CA,0.0,40875517,,,"$139,000"
Active,,Single Family Home,1103 Orange Pumpkin Ln,4.5,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': 'Central Electric, Zoned', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '8775', 'factLabel': 'lotsize'}, {'factValue': '$131', 'factLabel': 'Price/sqft'}]}",1,Richmond,"[{'rating': ['8', '9', '7', '6', 'NR', 'NR', 'NR', 'NR'], 'data': {'Distance': ['1.2 mi', '0.9 mi', '1.5 mi', '0.8 mi', '1.5 mi', '1.5 mi', '3.9 mi', '4.3 mi'], 'Grades': ['PK–5', '6–8', '9–12', 'PK–5', '1–9', 'PK–3']}, 'name': ['James C Neill Elementary School', 'James Bowie Middle School', 'William B Travis High School', 'Pecan Grove Elementary School', 'Vance Unit School', 'Jester IV Unit School', ""The King's Academy Private School"", 'Shady Oak Christian Private School']}]",3820,77406,5.0,TX,2,,,76685834,"$499,999"
Active,,Land,Fuller Rd,,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '1084644', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Salisbury,"[{'rating': ['NR', 'NR', '5'], 'data': {'Distance': ['4.8 mi', '4.8 mi', '4.8 mi'], 'Grades': ['PK–4', '5–8', '9–12']}, 'name': ['Dolgeville Elementary School', 'Dolgeville Middle School', 'James A Green High School']}]",0,13365,,NY,,,,201815031,"$43,000"
for sale,,condo,1010 SW 2nd Ave #601,2 Baths,"{'atAGlanceFacts': [{'factValue': '2016', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '932 sqft', 'factLabel': 'lotsize'}, {'factValue': '$348/sqft', 'factLabel': 'Price/sqft'}]}",,Miami,"[{'rating': ['4/10', '8/10', '10/10', '2/10', 'None/10'], 'data': {'Distance': ['1.98mi', '0.27mi', '21.24mi', '1.57mi', '16.51mi'], 'Grades': ['6-8', 'PK-5', 'PK-8', '9-12', 'K-9']}, 'name': ['Shenandoah Middle School', 'Southside Elementary School', 'Air Base Elementary School', 'Booker T. Washington Senior High School', 'Robert Morgan Voc-Tech Institute']}]",933 sqft,33130,2 Beds,FL,9.0,,,A10766722,"$325,000"
Active,,4-Plex,5816 17th Ave NW ,"1,500","{'atAGlanceFacts': [{'factValue': '1911', 'factLabel': 'Year built'}, {'factValue': '1985', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': 'Forced Air Heating, Radiant Heat, Radiator Heat, Wall Heat', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '3,900 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$429 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",1,Seattle,"[{'rating': ['6', '8', '6', '9'], 'data': {'Distance': ['0.6 mi', '0.4 mi', '1.7 mi', '0.4 mi'], 'Grades': ['K to 5', 'K to 8', '6 to 8', '9 to 12']}, 'name': ['Adams Elementary School', 'Salmon Bay School', 'Whitman Middle School', 'Ballard High School']}]","3,440",98107,Baths,WA,3,,,1479804,"1,475,000"
Active,,Land,626 Gila Dr,0,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '7000', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Poinciana,"[{'rating': ['3', '3', 'NR', '2', '2', 'NR', 'NR', 'NR'], 'data': {'Distance': ['3.2 mi', '7.3 mi', '6.7 mi', '2.8 mi', '7.7 mi', '9.4 mi', '4.2 mi', '4.4 mi'], 'Grades': ['PK–5', 'PK–12', '6–12', 'PK–4', '6–8', 'PK–12', '8–12', '2–6']}, 'name': ['Sandhill Elementary School', 'Haines City Senior High School', 'Don E Woods Opportunity Center School', 'Laurel Elementary School', 'Shelley S. Boone Middle School', 'Ridge Teen Parent Program School', 'Palmer Academy Private School', 'New Life Christian Private School']}]",0,34759,,FL,,,,S5020616,"$25,000"
For sale,,Single Family,356 Franklin Ave,Bathrooms: 1,"{'atAGlanceFacts': [{'factValue': '1942', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Wall', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '7,405 sqft lot', 'factLabel': 'lotsize'}, {'factValue': '$186', 'factLabel': 'Price/sqft'}]}",,Yuba City,"[{'rating': ['3/10', '3/10', '5/10'], 'data': {'Distance': ['0.8 mi', '1.5 mi', '0.9 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['Park Avenue Elementary School', 'Gray Avenue Middle School', 'Yuba City High School']}]",Total interior livable area: 960 sqft,95991,4 bd,CA,1.0,201903549,,,"$179,000"
